<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20120123,000000,183.40000,184.83000,180.77000,184.34000,47075910
GAZP,D,20120124,000000,183.70000,184.50000,181.97000,183.28000,37620360
GAZP,D,20120125,000000,184.40000,186.25000,184.25000,185.70000,37697120
GAZP,D,20120126,000000,186.97000,187.43000,184.14000,185.25000,54812550
GAZP,D,20120127,000000,184.50000,185.80000,182.30000,182.50000,40199360
GAZP,D,20120130,000000,181.63000,183.58000,181.03000,181.75000,37307980
GAZP,D,20120131,000000,183.00000,184.47000,181.90000,183.80000,39601460
GAZP,D,20120201,000000,183.00000,186.75000,182.60000,185.54000,44102020
GAZP,D,20120202,000000,186.30000,187.45000,185.50000,187.35000,50719260
GAZP,D,20120203,000000,187.00000,189.90000,186.04000,189.70000,47833720
GAZP,D,20120206,000000,189.90000,191.11000,188.50000,189.80000,39955930
GAZP,D,20120207,000000,190.17000,191.09000,187.85000,188.20000,39757800
GAZP,D,20120208,000000,189.33000,190.90000,188.30000,188.77000,42479550
GAZP,D,20120209,000000,189.20000,190.24000,187.21000,188.79000,46650250
GAZP,D,20120210,000000,187.91000,189.37000,186.85000,188.16000,40215910
GAZP,D,20120213,000000,189.20000,192.20000,189.02000,192.00000,42828420
GAZP,D,20120214,000000,191.64000,193.35000,190.57000,191.51000,44470850
GAZP,D,20120215,000000,192.99000,193.69000,191.20000,191.70000,40584070
GAZP,D,20120216,000000,190.14000,190.38000,188.03000,190.00000,45687090
GAZP,D,20120217,000000,191.90000,192.27000,189.10000,189.70000,32727910
GAZP,D,20120220,000000,191.07000,191.60000,190.50000,191.00000,20540730
GAZP,D,20120221,000000,190.98000,191.12000,188.33000,188.80000,30160340
GAZP,D,20120222,000000,189.30000,190.79000,186.73000,187.00000,36121140
GAZP,D,20120224,000000,188.64000,194.40000,187.61000,193.85000,60770690
GAZP,D,20120227,000000,193.07000,196.00000,192.76000,193.10000,51197300
GAZP,D,20120228,000000,194.30000,194.50000,190.70000,191.37000,42951510
GAZP,D,20120229,000000,192.40000,194.49000,192.11000,194.09000,42613830
GAZP,D,20120301,000000,192.65000,194.27000,191.76000,194.01000,31445480
GAZP,D,20120302,000000,194.74000,195.89000,193.24000,195.85000,39963460
GAZP,D,20120305,000000,195.89000,199.89000,195.83000,199.82000,46873560
GAZP,D,20120306,000000,198.67000,198.90000,192.12000,193.00000,56027960
GAZP,D,20120307,000000,192.25000,194.96000,191.00000,194.00000,40570180
GAZP,D,20120311,000000,196.57000,197.88000,196.11000,197.53000,14143440
GAZP,D,20120312,000000,196.77000,199.13000,195.69000,197.39000,39391380
GAZP,D,20120313,000000,198.30000,198.80000,196.81000,197.25000,34305460
GAZP,D,20120314,000000,199.55000,199.89000,198.03000,198.53000,43972420
GAZP,D,20120315,000000,197.99000,200.80000,196.70000,199.20000,61484610
GAZP,D,20120316,000000,199.30000,199.30000,196.73000,197.01000,26496520
GAZP,D,20120319,000000,197.86000,198.59000,190.60000,190.77000,58814290
GAZP,D,20120320,000000,191.40000,192.00000,189.86000,191.97000,6845520
